'ex Chapter 63',6309000000,6310999999
'ex Chapter 64',6401000000,6405999999
'6406',6406000000,6406999999
'Chapter 65',6500000000,6599999999
'Chapter 66',6600000000,6699999999
'Chapter 67',6700000000,6799999999
'ex Chapter 68',6801000000,6802999999
'ex 6803',6803000000,6803999999
'ex Chapter 68',6803000000,6803999999
'ex Chapter 68',6804000000,6811999999
'ex 6812',6812000000,6812999999
'ex Chapter 68',6812000000,6812999999
'ex Chapter 68',6813000000,6813999999
'ex 6814',6814000000,6814999999
'ex Chapter 68',6814000000,6814999999
'ex Chapter 68',6815000000,6815999999
'Chapter 69',6900000000,6999999999
'ex Chapter 70',7001000000,7009999999
'7010',7010000000,7010999999
'ex Chapter 70',7011000000,7011999999
'7013',7013000000,7013999999
'ex Chapter 70',7014000000,7018999999
'7019',7019000000,7019999999
'ex Chapter 70',7020000000,7020999999
'ex Chapter 71',7101000000,7105999999
'7106',7106000000,7106999999
'7106',7106000000,7106999999
'ex Chapter 71',7107000000,7107999999
'7108',7108000000,7108999999
'7108',7108000000,7108999999
'ex Chapter 71',7109000000,7109999999
'7110',7110000000,7110999999
'7110',7110000000,7110999999
'ex Chapter 71',7111000000,7116999999
'7117',7117000000,7117999999
'ex Chapter 71',7118000000,7118999999
'ex Chapter 72',7201000000,7206999999
'7207',7207000000,7207999999
'7208 to 7214',7208000000,7214999999
'7215 to 7216',7215000000,7216999999
'7217',7217000000,7217999999
'721891',7218910000,7218919999
'721899',7218990000,7218999999
'ex Chapter 72',7218000000,7218999999
'7219 to 7222',7219000000,7222999999
'7223',7223000000,7223999999
'722490',7224900000,7224909999
'ex Chapter 72',7224000000,7224999999
'7225 to 7228',7225000000,7228999999
'7229',7229000000,7229999999
'ex 7301',7301000000,7301999999
'ex Chapter 73',7301000000,7301999999
'7302',7302000000,7302999999
'ex Chapter 73',7303000000,7303999999
'7304 to 7305',7304000000,7305999999
'7306',7306000000,7306999999
'ex 7307',7307000000,7307999999
'ex Chapter 73',7307000000,7307999999
'7308',7308000000,7308999999
'ex Chapter 73',7309000000,7326999999
'ex Chapter 74',7401000000,7407999999
'7408',7408000000,7408999999
'ex Chapter 74',7409000000,7412999999
'7413',7413000000,7413999999
'ex Chapter 74',7415000000,7419999999
'Chapter 75',7500000000,7599999999
'7601',7601000000,7601999999
'ex Chapter 76',7602000000,7604999999
'7605',7605000000,7605999999
'ex Chapter 76',7606000000,7606999999
'7607',7607000000,7607999999
'ex Chapter 76',7608000000,7613999999
'7614',7614000000,7614999999
'ex Chapter 76',7615000000,7616999999
'Chapter 78',7800000000,7899999999
'Chapter 79',7900000000,7999999999
'ex Chapter 80',8001000000,8003999999
'8007',8007000000,8007999999
'Chapter 81',8100000000,8199999999
'ex Chapter 82',8201000000,8205999999
'8206',8206000000,8206999999
'ex Chapter 82',8207000000,8215999999
'Chapter 83',8300000000,8399999999
'8401',8401000000,8401999999
'ex Chapter 84',8402000000,8406999999
'8407',8407000000,8407999999
'8408',8408000000,8408999999
'ex Chapter 84',8409000000,8418999999
'8419',8419000000,8419999999
'ex Chapter 84',8420000000,8426999999
'8427',8427000000,8427999999
'ex Chapter 84',8428000000,8442999999
'844331',8443310000,8443319999
'ex Chapter 84',8443000000,8443999999
'ex Chapter 84',8444000000,8480999999
'8481',8481000000,8481999999
'8482',8482000000,8482999999
'ex Chapter 84',8483000000,8487999999
'8501 to 8502',8501000000,8502999999
'ex Chapter 85',8503000000,8512999999
'8513',8513000000,8513999999
'ex Chapter 85',8514000000,8518999999
'8519',8519000000,8519999999
'8521',8521000000,8521999999
'ex Chapter 85',8522000000,8522999999
'8523',8523000000,8523999999
'ex Chapter 85',8524000000,8524999999
'8525',8525000000,8525999999
'8526',8526000000,8526999999
'8527',8527000000,8527999999
'8528',8528000000,8528999999
'ex Chapter 85',8529000000,8534999999
'8535 to 8537',8535000000,8537999999
'ex Chapter 85',8538000000,8538999999
'8539',8539000000,8539999999
'ex Chapter 85',8540000000,8543999999
'8544',8544000000,8544999999
'8545',8545000000,8545999999
'8546',8546000000,8546999999
'8547',8547000000,8547999999
'8548',8548000000,8548999999
'ex Chapter 85',8549000000,8549999999
'Chapter 86',8600000000,8699999999
'ex Chapter 87',8701000000,8710999999
'8711',8711000000,8711999999
'ex Chapter 87',8712000000,8713999999
'8714',8714000000,8714999999
'ex Chapter 87',8715000000,8716999999
'ex Chapter 88',8801000000,8802999999
'ex 8804',8804000000,8804999999
'ex Chapter 88',8804000000,8804999999
'ex Chapter 88',8805000000,8807999999
'Chapter 89',8900000000,8999999999
'900150',9001500000,9001509999
'ex Chapter 90',9001000000,9001999999
'9002',9002000000,9002999999
'ex Chapter 90',9003000000,9033999999
'Chapter 91',9100000000,9199999999
'Chapter 92',9200000000,9299999999
'Chapter 93',9300000000,9399999999
'Chapter 94',9400000000,9499999999
'ex Chapter 95',9503000000,9505999999
'ex 9506',9506000000,9506999999
'ex Chapter 95',9506000000,9506999999
'ex Chapter 95',9507000000,9508999999
'ex Chapter 96',9601000000,9602999999
'9603',9603000000,9603999999
'ex Chapter 96',9604000000,9604999999
'9605',9605000000,9605999999
'ex Chapter 96',9606000000,9607999999
'9608',9608000000,9608999999
'ex Chapter 96',9609000000,9612999999
'961320',9613200000,9613209999
'ex Chapter 96',9613000000,9613999999
'9614',9614000000,9614999999
'ex Chapter 96',9615000000,9620999999
'Chapter 97',9700000000,9799999999
